Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 4-weekly from Oct to May (during beach season),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 2-weekly from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Neighbourhood Loop (fortnightly) runs from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8159,728,512,669,308,9,217,543,182,88,47,623,67,291,454,107,0,710,38,188,403,0,0,144,173,57,34,0,706,288,25,0,288,261,0,,
"Fri, 12-Jun",Il Lido,N/hood Loop,10.0,8.02,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,40
"Mon, 15-Jun",Drift,Cruise,10.0,10.48,x,,x,,,,,,,,,,,x,,,x,,,,,,x,x,,,,,,,,,,2,8,84
"Wed, 17-Jun",Filament,Intervals,8.0,7.76,x,x,x,,,x,x,,,,x,,,x,x,,x,,,x,,,,,,,,x,x,,,,x,1,14,109
"Fri, 19-Jun",MSBB,River Loop,12.5,12.06,x,x,x,,,,x,,,,,,,,,,x,,,,,,,,,,,x,x,,,,,,7,84
"Mon, 22-Jun",Drift,Intervals,10.0,10.20,,,x,,,,,,,,,,x,,,,x,,x,x,,,,,,,,,,,,,,1,6,61
"Wed, 24-Jun",Filament,FILAMENT CUP 🏆,8.0,7.74,x,,x,x,,x,x,x,,,x,,,,x,,x,,x,,,,x,,,,,x,x,,,,x,1,15,116
"Fri, 26-Jun",Il Lido,N/hood Loop,10.0,10.27,x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,51
"Mon, 29-Jun",Drift,Cruise,10.0,10.20,,,x,,,,,,,,x,,x,x,,,x,,,,,,,,,,,,x,,,,x,,7,71
"Wed, 1-Jul",Filament,Intervals,8.0,8.05,x,x,x,x,,x,x,,x,,x,,,x,x,,x,,,,,,,,,,,x,x,,,,,1,14,113
"Fri, 3-Jul",MSBB,River Loop,12.5,12.20,x,x,,,,,x,,,,x,,,,,,x,,,,,,,,,,,x,x,,,,,,7,85
"Mon, 6-Jul",Drift,Intervals,10.0,10.46,x,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,x,,5,52
"Wed, 8-Jul",Filament,Lakes Loop,12.5,12.39,x,x,x,,,x,x,x,x,,x,,,x,,,x,,x,,,,x,,,,,x,x,,,,x,1,16,198
"Fri, 10-Jul",Il Lido,N/hood Loop,10.0,10.30,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,52
"Mon, 13-Jul",Drift,Cruise,10.0,10.21,,,,x,,,,,,,,,x,x,,,x,,,,,,,x,,,,,,,,,,,5,51
"Wed, 15-Jul",Filament,Intervals,8.0,8.32,x,x,,,,x,,,,,x,,,x,,,x,x,x,,,,,x,,,,x,x,,,,,,11,92
"Fri, 17-Jul",MSBB,River Loop,12.5,12.26,x,x,,,,,x,,,,x,,,,,,x,,,,,,,,,,,x,x,,,,,,7,86
"Mon, 20-Jul",Drift,Intervals,10.0,10.43,,,x,x,,,,,,,,,x,x,,,x,,,x,,,,,,,,,,,,,,1,7,73
"Wed, 22-Jul",Reverie,Social,8.0,8.29,,x,x,,,,x,,,,x,,,x,,,x,,x,x,,,,,,,,x,,,,,,,9,75
"Fri, 24-Jul",Il Lido,N/hood Loop,10.0,10.29,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,4,41
"Mon, 27-Jul",Drift,Cruise,10.0,10.46,,,x,,,,,,,,,,x,x,,,x,,,x,,,,,,,,,,,,,,,5,52
"Wed, 29-Jul",Some-day,Hills,8.0,12.10,,x,x,x,,,x,,,,x,,,x,,,x,x,x,,,,,,,,,x,,,,,,,10,121
"Fri, 31-Jul",MSBB,River Loop,12.5,12.20,,x,,,,,x,,,,x,,,,,,x,,,,,,,,,,,x,,,,,,,5,61
"Mon, 3-Aug",Drift,Intervals,10.0,10.42,,,x,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,x,1,6,63
"Wed, 5-Aug",Little Rokeby,Kings Park,12.5,12.55,,x,x,,,,x,,,,x,,,x,,,x,,x,x,,,,,,,,x,,,,x,x,1,12,151
"Fri, 7-Aug",Il Lido,N/hood Loop,10.0,10.16,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,4,41
"Mon, 10-Aug",Drift,Cruise,10.0,10.50,x,,x,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,5,53
"Wed, 12-Aug",Filament,Intervals,8.0,7.70,x,x,x,,,x,x,x,,,x,,,,,,x,,x,x,,,,,,,,x,,,,x,x,,13,100
"Fri, 14-Aug",MSBB,River Loop,12.5,12.25,x,x,,,,,x,,,,x,,,,,,x,,,x,,,,,,,,x,x,,,,,,8,98
"Mon, 17-Aug",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 19-Aug",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 21-Aug",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 24-Aug",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 26-Aug",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 28-Aug",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 31-Aug",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 2-Sep",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 4-Sep",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 7-Sep",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 9-Sep",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 11-Sep",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 14-Sep",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 16-Sep",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 18-Sep",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Sat, 19-Sep",Filament,Half - Beer Run,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 21-Sep",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 23-Sep",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 25-Sep",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 28-Sep",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 30-Sep",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 2-Oct",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 5-Oct",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
