Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 4-weekly from Oct to May (during beach season),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 2-weekly from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Neighbourhood Loop (fortnightly) runs from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5291,505,323,424,218,9,136,312,133,67,47,367,67,187,270,62,0,421,17,108,282,0,0,91,137,57,15,0,449,143,25,0,267,152,0,,
"Fri, 3-Apr",C-Breeze,Good Fri Pancake,13.0,12.93,x,,x,,,,x,,,,x,,x,x,,,x,,,,,,,,,,,x,x,,,x,,,10,129
"Mon, 6-Apr",Drift,Cruise,10.0,10.45,,,,x,,,,,,,x,,,,,,x,,,x,,,,,,,,x,,,,,,1,6,63
"Wed, 8-Apr",Filament,Intervals,8.0,8.89,x,x,x,,,x,x,x,x,,x,x,,x,,,x,,,x,,,,,,,,x,,,,x,x,,15,133
"Fri, 10-Apr",MSBB,River Loop,12.5,12.49,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,5,62
"Mon, 13-Apr",Drift,Intervals,10.0,10.48,x,,x,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,5,52
"Wed, 15-Apr",Filament,Lakes Loop,12.5,12.33,x,x,x,,,x,x,x,,,x,x,,x,x,,,,,,,,,x,,,,x,,,,x,x,,14,173
"Fri, 17-Apr",Il Lido,Soft Sand,7.0,7.01,x,x,x,,,,x,,,,x,,,,,,,,,,,,,x,,,,x,,,,,,,7,49
"Mon, 20-Apr",Drift,Cruise,10.0,10.09,,,x,,,,,,,,,,x,x,,,x,,,,,,,x,,,,,x,,,,,,6,61
"Wed, 22-Apr",Filament,Intervals,8.0,8.64,x,x,x,,,x,,x,,,x,,,x,,,x,x,,x,,,,x,x,,,x,,,,x,x,,15,130
"Fri, 24-Apr",Il Lido,Soft Sand,7.0,4.00,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,20
"Sat, 25-Apr",Filament,Mara - Anzac Day,42.2,42.22,x,,x,,,,x,,,,x,,,,,,x,,,,,,,,,,,x,,,,,,,6,253
"Sat, 25-Apr",Filament,Half - Anzac Day,21.1,21.10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21
"Mon, 27-Apr",Drift,Intervals,10.0,10.42,,,x,,,,x,,,,x,,x,x,,,x,,,,,,,,,,,x,x,,,,,,8,83
"Wed, 29-Apr",Filament,Social,8.0,7.99,x,x,x,x,,x,x,x,,,x,,,x,x,,x,,,x,,,,x,,,,x,x,,,x,x,,17,136
"Fri, 1-May",Il Lido,Soft Sand,7.0,7.02,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,35
"Mon, 4-May",Drift,Cruise,10.0,10.78,x,,,,,,,,,,,,x,x,,,x,,,,,,x,x,,,,,x,,,,,,7,75
"Wed, 6-May",Filament,Intervals,8.0,8.44,x,,,,,,x,,x,,,,,x,,,x,,,,,,x,x,,,,x,x,,,x,x,1,12,101
"Fri, 8-May",MSBB,River Loop,12.5,no run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 11-May",Drift,Intervals,10.0,10.42,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,1,4,42
"Wed, 13-May",Filament,Lakes Loop,12.5,12.33,x,,,x,,x,,,,,x,,,x,,,x,,,x,,,,,x,,,x,,,,,x,1,11,136
"Fri, 15-May",Il Lido,N/hood Loop,10.0,10.19,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,3,31
"Mon, 18-May",Drift,Cruise,10.0,10.42,x,,x,,,,,,,,,,x,x,,,x,,,,,,x,,,,,,,,,,x,,7,73
"Wed, 20-May",Filament,Intervals,8.0,8.20,x,,x,x,,x,,x,,,x,,,,,,x,,,,,,,x,,,,x,,,,,x,1,11,90
"Fri, 22-May",MSBB,River Loop,12.5,12.49,x,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,x,,,,,,1,6,75
"Mon, 25-May",Drift,Intervals,10.0,9.77,x,,x,,,,,,,,,,x,,,,x,,,x,,,,,,,,,x,,,,,1,7,68
"Wed, 27-May",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 29-May",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 1-Jun",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 3-Jun",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 5-Jun",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 8-Jun",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 10-Jun",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 12-Jun",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 15-Jun",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 17-Jun",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 19-Jun",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 22-Jun",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 24-Jun",Filament,FILAMENT CUP 🏆,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 26-Jun",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 29-Jun",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 1-Jul",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 3-Jul",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 6-Jul",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 8-Jul",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 10-Jul",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 13-Jul",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 15-Jul",Reverie,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 17-Jul",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 20-Jul",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 22-Jul",Reverie,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 24-Jul",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 27-Jul",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 29-Jul",Someday,Hills,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 31-Jul",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 3-Aug",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 5-Aug",Reverie,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 7-Aug",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 10-Aug",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 12-Aug",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 14-Aug",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 17-Aug",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 19-Aug",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 21-Aug",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 24-Aug",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 26-Aug",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 28-Aug",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 31-Aug",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 2-Sep",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 4-Sep",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 7-Sep",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 9-Sep",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 11-Sep",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 14-Sep",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 16-Sep",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 18-Sep",Il Lido,N/hood Loop,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Sat, 19-Sep",Filament,Half - Beer Run,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 21-Sep",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 23-Sep",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 25-Sep",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 28-Sep",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 30-Sep",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 2-Oct",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 5-Oct",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 7-Oct",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 9-Oct",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 12-Oct",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 14-Oct",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 16-Oct",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 19-Oct",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 21-Oct",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 23-Oct",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 26-Oct",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 28-Oct",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
